52,106,315,61,1
362,236,96,0,1
226,349,209,173,1
32,219,703,124,1
123,205,347,90,1
111,169,88,0,1
111,200,344,51,1
87,140,89,46,1
130,1023,326,0,1
378,1023,127,0,1
57,132,80,55,1
59,117,464,102,1
70,199,66,56,1
94,354,502,66,1
60,118,333,126,1
176,259,208,1,1
106,655,307,186,1
104,124,150,47,1
31,175,76,94,1
99,252,0,37,1
41,506,691,20,1
36,165,164,76,1
166,198,830,0,1
47,132,122,72,1
119,168,126,68,1
68,283,414,92,1
90,108,250,67,1
225,0,604,0,1
23,323,45,97,1
56,116,158,46,1
38,60,74,9,1
0,316,516,175,1
63,99,86,46,1
33,60,45,8,1
256,578,86,97,1
90,191,145,60,1
141,980,763,182,1
54,134,64,18,1
55,179,48,25,1
131,278,78,19,1
62,110,134,45,1
67,255,463,118,1
0,536,38,154,1
56,93,9,13,1
106,156,194,71,1
89,133,28,58,1
196,330,30,116,1
131,595,280,44,1
50,112,121,12,1
149,339,324,1,1
91,928,229,105,1
30,146,153,31,1
132,236,286,102,1
126,154,193,0,1
34,100,0,33,1
63,229,273,64,1
10,155,504,83,1
27,45,85,5,1
235,235,439,0,1
79,161,450,74,1
0,268,285,5,1
0,136,1023,25,1
24,236,287,95,1
35,68,45,46,1
85,136,124,46,1
52,134,219,14,1
143,854,0,144,1
